V (mL),pH,0,1
11.897156610839563,5.522531738887328,-3.5824294919439836e-13,3.141202575829283e-13
12.263522748313832,5.622209856903223,-2.3298550588801703e-13,1.9834828224318812e-13
12.679389780801248,5.721887974919119,-1.411232242176652e-13,1.1630800489381699e-13
13.144095975843136,5.821566092935014,-7.949370328663719e-14,6.32844471271099e-14
13.653687176116774,5.921244210950909,-4.175132461980979e-14,3.203166898391174e-14
14.200624806655041,6.0209223289668055,-2.0646678811075958e-14,1.5248219353836134e-14
14.77397390540248,6.120600446982699,-9.756084828893563e-15,6.923281392623437e-15
15.360155319369504,6.220278564998595,-4.4200754167889045e-15,3.039235529911366e-15
15.944198409922695,6.319956683014491,-2.1250362580715887e-15,1.4051260155412137e-15
16.511273704105786,6.419634801030385,-1.0286910212542466e-15,6.557254739192331e-16
17.048188805958002,6.519312919046281,-5.811323644522304e-16,3.5908775952719907e-16
17.544543187053122,6.618991037062177,-2.8796409701215e-16,1.717376241217039e-16
17.99335198432785,6.7186691550780715,-2.2753674673581248e-09,1.3271794357949673e-09
18.391109021414195,6.818347273093967,-1.8818864522263112e-09,1.0758941810379286e-09
18.737398788498222,6.918025391109862,-1.6215698020460856e-09,9.118943256752887e-10
19.034235926643856,7.017703509125758,-1.4471372052071718e-09,8.028845192853407e-10
19.285315347836544,7.117381627141653,-1.3286961149383547e-09,7.290837517048843e-10
19.4953102189061,7.217059745157548,-1.2471861772500592e-09,6.782184917841771e-10
19.669296519054804,7.316737863173444,-1.1903144442326763e-09,6.425479003036028e-10
19.812330963105378,7.416415981189339,-1.1500567928535155e-09,6.171046052633189e-10
19.92917425349539,7.516094099205234,-1.1211166960067853e-09,5.98647629732052e-10
20.024133892289306,7.61577221722113,-1.0999626695595843e-09,5.85029587274466e-10
20.100995674146088,7.715450335237025,-1.0842170460045875e-09,5.74806801115213e-10
20.163015246758686,7.81512845325292,-1.0722641524685272e-09,5.669953517112303e-10
20.212946621572563,7.914806571268816,-1.0629944216522524e-09,5.609151129681855e-10
20.253090641219835,8.01448468928471,-1.0556375322490208e-09,5.560894210387968e-10
20.285351843725493,8.114162807300605,-1.0496508974500163e-09,5.521787992124327e-10
20.31129643392566,8.213840925316502,-1.0446456963353334e-09,5.489371682904087e-10
20.332207165819163,8.313519043332397,-1.0403383328416727e-09,5.461830709929671e-10
20.34913304145387,8.413197161348291,-1.036515342306421e-09,5.437789524220804e-10
20.362933080290972,8.512875279364188,-1.0330114298684467e-09,5.416179883060979e-10
20.374314227670244,8.612553397380083,-1.0296918491470297e-09,5.396136142088448e-10
20.38386392873797,8.712231515395978,-1.0264412271532297e-09,5.376927254135966e-10
20.39207812596673,8.811909633411872,-1.02315404412745e-09,5.357899783564601e-10
20.399385536142688,8.911587751427769,-1.0197274726009287e-09,5.338434538176839e-10
20.406169088534142,9.011265869443664,-1.0160543760517893e-09,5.317905629742548e-10
20.41278540074879,9.110943987459558,-1.0120172963534735e-09,5.295645432584761e-10
20.419583159106764,9.210622105475455,-1.007482659798331e-09,5.270911398319589e-10
20.426921273701033,9.31030022349135,-1.0022930263531293e-09,5.242843104102946e-10
20.435187706903868,9.409978341507244,-9.962607613878127e-10,5.210427141827401e-10
20.444819937542697,9.509656459523141,-9.891582657128861e-10,5.172444764167672e-10
