V (mL),[H^{+}] (mol/L),[PO_4^{3-}] (mol/L),[HPO_4^{2-}] (mol/L),[H_2PO_4^{-}] (mol/L),[H_3PO_4] (mol/L),[OH^{-}] (mol/L),[Na^{+}] (mol/L)
10.927729668140008,1.0098603753755587e-06,9.406343199918549e-11,0.000618328258748019,0.008615041546919857,1.5673426415801566e-06,9.902468695343121e-09,0.009850698386578127
11.097110653143728,7.961943445937353e-07,1.4843073121158586e-10,0.0007692718812180498,0.00845037332839251,1.2121049526340082e-06,1.2559886693149727e-08,0.009988133899905103
11.303260974525664,6.277357244829981e-07,2.331304731283139e-10,0.0009526049479969315,0.008250240856277955,9.330151888369573e-07,1.593044710345267e-08,0.010154839644991144
11.55188719229525,4.949195412751421e-07,3.6410384326776714e-10,0.0011729967468937068,0.008009554462393228,7.141479630196882e-07,2.0205528211836185e-08,0.010355074333428095
11.848383719231416,3.9020457619762445e-07,5.648414404862392e-10,0.0014346826725016605,0.007723695804195606,5.429536543529196e-07,2.562786641630581e-08,0.010592698266267509
12.197195138400751,3.0764517984736754e-07,8.693226149952287e-10,0.0017408767916424434,0.007389160499658614,4.0953446487743167e-07,3.25053386462459e-08,0.010870641550575506
12.60100803482685,2.425536819829211e-07,1.3256755535927847e-09,0.002093061850923629,0.00700433458098749,3.0606945912576595e-07,4.122844341949869e-08,0.011190260934318502
13.059855661458187,1.9123422857676685e-07,2.0005079428812997e-09,0.0024902494403310515,0.006570303463396152,2.2635823471760107e-07,5.229247310091026e-08,0.011550669403653341
13.570296521404938,1.5077293356415075e-07,2.9837688227792665e-09,0.002928366968719158,0.0060915222348193855,1.6546054860811307e-07,6.632563628914936e-08,0.011948180676175629
14.124892406847342,1.1887243023763579e-07,4.393967519898139e-09,0.003399968760502251,0.005576131636155477,1.194151422874106e-07,8.412472710310422e-08,0.012376047591314533
14.712220377986721,9.372142822033282e-08,6.383667782139441e-09,0.0038944498750808627,0.0050357245444024885,8.502489524033222e-08,1.0670036664736192e-07,0.012824656424485121
15.31756967167912,7.389186954535791e-08,9.145440945199615e-09,0.004398840828616401,0.004484477523078224,5.969717057944117e-08,1.3533438543851484e-07,0.013282248059140201
15.92429841685237,5.825784442883263e-08,1.2918872412623612e-08,0.004899096154621924,0.003937742602483551,4.1328246297642445e-08,1.716526049301393e-07,0.013736087063100758
16.515613173393376,4.593166282537655e-08,1.7999653551163833e-08,0.005381622829721537,0.003410376872863682,2.822018028315335e-08,2.1771715062532017e-07,0.014173848316753262
17.076382675158868,3.621345194948444e-08,2.4752106303022916e-08,0.005834706691391537,0.002915183540634451,1.9018710567034652e-08,2.7614353825681875e-07,0.014584911109821743
17.594584423587946,2.8551417941984063e-08,3.362659790949438e-08,0.006249532847454478,0.002461796703594938,1.2662664738093927e-08,3.502491811140154e-07,0.014961284976060245
18.06211584210048,2.2510515364151994e-08,4.5183258180462644e-08,0.006620639269906384,0.002056185598841045,8.33859713954013e-09,4.4424175066862775e-07,0.015298021419663407
18.47491075866973,1.7747745593209244e-08,6.01233761244237e-08,0.006945819563539486,0.001700762381110627,5.437910771164561e-09,5.634580854962351e-07,0.015593125076767661
18.832488623282558,1.399268157773446e-08,7.932990215307236e-08,0.007225614921228634,0.001394930960136368,3.516405138350361e-09,7.146672135908799e-07,0.015847097315620375
19.137165663192537,1.1032113160940606e-08,1.0391905850051708e-07,0.0074626118630117646,0.0011358644609282943,2.257514043761248e-09,9.064546934878709e-07,0.016062293454552897
19.39315807087991,8.697941142994584e-09,1.353053677767438e-07,0.0076606996151778375,0.0009193097103676898,1.4405341332657173e-09,1.149710096840345e-06,0.016242254117703428
19.605752066826756,6.857632714904785e-09,1.752836147349879e-07,0.007824425950633375,0.0007402930214131325,9.145829858741943e-10,1.4582453114015703e-06,0.016391120519903407
19.780635693734705,5.406696329557084e-09,2.2613214803919363e-07,0.007958500150339052,0.0005936632373810625,5.782523084093299e-10,1.8495787712647681e-06,0.016513184541725272
19.92342110288443,4.262748737842243e-09,2.9074331061359454e-07,0.00806745234431979,0.00047446381060190884,3.643661873416859e-10,2.3459301424568296e-06,0.016612580885827337
20.039342828696064,3.360837319943262e-09,3.7278838061058284e-07,0.008155428816274258,0.00037815621454336847,2.2896229748145665e-10,2.975481941504014e-06,0.016693102861699317
20.133097117175247,2.6497521167153868e-09,4.769263856410162e-07,0.00822609159150939,0.00030072929619928186,1.4355761248062498e-10,3.7739797208729046e-06,0.016758113145643704
20.208782961528257,2.0891181606363066e-09,6.090686308675311e-07,0.008282590304224999,0.00023872952473105166,8.984923403594997e-11,4.786761678802349e-06,0.016810520590968606
20.269909869979756,1.6471030107187879e-09,7.76713902482151e-07,0.008327579407206694,0.00018924154846848099,5.615423243519328e-11,6.071332933487823e-06,0.01685279878711225
20.3194451618439,1.298609326670446e-09,9.893732476949116e-07,0.008363260481981242,0.00014984114761612522,3.505539374715607e-11,7.700630627275402e-06,0.016887028174272255
20.359881590117503,1.0238498578055092e-09,1.259108204013675e-06,0.008391435694690495,0.00011853578892675966,2.1864070050013285e-11,9.76716525141477e-06,0.016914949267501207
