V (mL),[H^{+}] (mol/L),[HPO_4^{2-}] (mol/L),[H_2PO_4^{-}] (mol/L),[H_3PO_4] (mol/L),[OH^{-}] (mol/L),[Na^{+}] (mol/L)
20.639754688697394,7.491548532029764e-11,0.00848271696510323,8.76765643177456e-06,1.18331497844041e-13,0.00013348522953657605,0.017107686741257518
20.685285852211642,5.906488380864894e-11,0.008481369523670759,6.911499623542506e-06,7.354393849989596e-14,0.0001693072111378571,0.017138957699033747
20.742007865046464,4.656794899497207e-11,0.008478845865772213,5.447544673467503e-06,4.5701783887251605e-14,0.00021474234896846396,0.017177881578607994
20.813177705977882,3.671511283462093e-11,0.008475002390140023,4.293007488021603e-06,2.8395646077583576e-14,0.00027237042138119775,0.0172266681724083
20.902895378422826,2.8946937530027132e-11,0.008469620674118392,3.382544614183094e-06,1.76397082787539e-14,0.00034546351383287594,0.01728808737767173
21.016350481489084,2.282235100683559e-11,0.008462395027536498,2.6645914155174666e-06,1.0955601988910922e-14,0.00043817180582442016,0.01736562642932446
21.160139234261063,1.7993603120845278e-11,0.008452915108291225,2.0984643423983506e-06,6.8024439560178075e-15,0.0005557592154646875,0.017463687877969442
21.342675302998337,1.4186520625045145e-11,0.008440642606253788,1.6520696578069598e-06,4.222303915573818e-15,0.0007049022814071509,0.017587839548285487
21.574726527252594,1.1184939786277607e-11,0.008424880667691578,1.30009281437834e-06,2.6197101915373204e-15,0.000894069252486517,0.01774513066664863
21.870122454832313,8.818432745362302e-12,0.008404734321677251,1.0225683491144587e-06,1.624534708274697e-15,0.0011340009095247767,0.017944492105004282
22.246696754449875,6.952630731180586e-12,0.00837905965994485,8.037507584786257e-07,1.0067364679338632e-15,0.0014383204200643434,0.018197243464465412
22.72755786265731,5.481594686944647e-12,0.00834639888356363,6.312232776904222e-07,6.23354598517438e-16,0.001824306853193815,0.018517735787701436
23.34282707674884,4.321800117642307e-12,0.008304897527436829,4.951946049937714e-07,3.8555454120587146e-16,0.002313876274148313,0.018924166387136208
24.132056973159724,3.4073946221047325e-12,0.008252199161245843,3.879440397106538e-07,2.3814241787832593e-16,0.0029348261246145008,0.019439612039877513
25.14766473319427,2.6864588353711594e-12,0.008185311584846703,3.0338377832966443e-07,1.4683101036631129e-16,0.00372241354386594,0.02009333917462005
26.45992226789829,2.1180584800259485e-12,0.008100436912382082,2.3671367083436843e-07,9.032470013842887e-17,0.004721357246803408,0.020922465334765834
28.164423110040417,1.669920143849896e-12,0.007992756456886616,1.8414894408478305e-07,5.5400052685887585e-17,0.0059883766242673706,0.021974073685313886
30.393549292330174,1.3165988159125306e-12,0.007856155610392412,1.4270542611804716e-07,3.384848133366253e-17,0.0075954122341306204,0.023307866159018354
33.33491524194306,1.038033134965339e-12,0.007682878479081026,1.1003025771314521e-07,2.05763618290292e-17,0.00963371054061568,0.02499957752794613
37.26211738933462,8.184063180545615e-13,0.007463086496982713,8.42683320653361e-08,1.2424491196037778e-17,0.012219004830748675,0.027145262091812627
42.58890914852472,6.452480936015488e-13,0.007184300014148953,6.395700813095942e-08,7.434642857361647e-18,0.015498086477104968,0.029866750458208923
49.97071660930125,5.087266472797149e-13,0.006830689707581037,4.794308691480174e-08,4.393956180631009e-18,0.019657139658983757,0.03331856698383335
60.51024820096609,4.010903778233777e-13,0.006382177774057773,3.531734842674993e-08,2.551970058238864e-18,0.024932312782201736,0.03769670330980738
76.21770612859841,3.162277660168375e-13,0.005813297535768306,2.5362934547682563e-08,1.4449231266959184e-18,0.031623126836027006,0.04324974326983872
