V (mL),[H^{+}] (mol/L),[PO_4^{3-}] (mol/L),[HPO_4^{2-}] (mol/L),[H_2PO_4^{-}] (mol/L),[H_3PO_4] (mol/L),[OH^{-}] (mol/L),[Na^{+}] (mol/L)
11.30283503523437,4.751431769086729e-06,1.0544427866701407e-11,0.0010467609612584943,0.008066256247533933,5.5398309418295795e-05,2.1046287700185335e-09,0.01015502887384343
11.578260998307075,3.7769947323222697e-06,1.6189057403520723e-11,0.0012775206890490063,0.007825540100720488,4.2722897615783644e-05,2.64760761099911e-09,0.010376807179745118
11.897156610839563,3.0023979931279118e-06,2.4681107307887938e-11,0.0015482208126484872,0.00753878160994073,3.2716694868764216e-05,3.3306710245905675e-09,0.010632224241600681
12.263522748313832,2.3866577392857653e-06,3.732422784849781e-11,0.001861148278939292,0.007203957103899309,2.4851995210140097e-05,4.1899598067180774e-09,0.010923871305738112
12.679389780801248,1.8971952344527015e-06,5.592642523964685e-11,0.002216813132867351,0.0068208910202825586,1.870480288156641e-05,5.270938814520459e-09,0.011252625529359774
13.144095975843136,1.508113081479037e-06,8.293999051196895e-11,0.0026133518697468595,0.0063919268391318335,1.3933675835800725e-05,6.630802505998269e-09,0.011617129345087056
13.653687176116774,1.1988249945105475e-06,1.2161507228359625e-10,0.0030460932294349673,0.0059224169641848325,1.0262537791777986e-05,8.341501091310459e-09,0.012013413304364812
14.200624806655041,9.529665812949111e-07,1.7616228445714316e-10,0.0035074428596324554,0.005420861052944567,7.466996481001255e-06,1.0493547408988652e-08,0.0124348048276418
14.77397390540248,7.575295053267456e-07,2.5192389934760094e-10,0.003987208282845113,0.004898560495981594,5.3637438410788995e-06,1.3200805948392309e-08,0.012872233488734383
15.360155319369504,6.021732164634999e-07,3.555620323986694e-10,0.0044733905397130215,0.0043687606316366884,3.802591604156517e-06,1.6606517404956896e-08,0.013314957211045348
15.944198409922695,4.786778337691165e-07,4.95284262447973e-10,0.0049533366508162984,0.003845396817657928,2.6606299747093106e-06,2.0890877526665137e-08,0.013751613818184943
16.511273704105786,3.8050923268817195e-07,6.811388112905486e-10,0.005415029489278175,0.0033416889688183578,1.83793955294986e-06,2.628057124751821e-08,0.014171395762128672
17.048188805958002,3.024733253697662e-07,9.254189840425921e-10,0.005848244018785783,0.00286888121148503,1.2542948734661414e-06,3.306076655776251e-08,0.014565102612754155
17.544543187053122,2.4044124215829686e-07,1.2432185606269348e-09,0.0062453452005247845,0.002435372575496274,8.463975042817126e-07,4.1590202704976835e-08,0.014925867855161784
17.99335198432785,1.9113087363968773e-07,1.6531784239145984e-09,0.006601620782173616,0.0020463570799722696,5.653433178256624e-07,5.232017104076857e-08,0.015249462517784706
18.391109021414195,1.5193321466131674e-07,2.1784619127054356e-09,0.006915167406387585,0.001703944421868112,3.742037643599186e-07,6.581839278719651e-08,0.015534197773320694
18.737398788498222,1.2077432221043628e-07,2.8480053017870635e-09,0.007186466448565882,0.0014076348523638683,2.4573364356357485e-07,8.279905709241788e-08,0.01578053669667662
19.034235926643856,9.600558336046346e-08,3.698091856220798e-09,0.007417784039740907,0.001154969926495197,1.602755097963905e-07,1.0416060868516254e-07,0.0159905558081407
19.285315347836544,7.63164873765397e-08,4.774324288369581e-09,0.007612552263831684,0.000942212063010639,1.0393624748725103e-07,1.310332844678864e-07,0.01616738430174785
19.4953102189061,6.066528676385356e-08,6.134089363884183e-09,0.007774820185027022,0.0007649457012108878,6.707657256381162e-08,1.6483891420353968e-07,0.016314707399974284
19.669296519054804,4.82238785438639e-08,7.849639866367773e-09,0.007908823235326878,0.0006185488529324329,4.311576961875469e-08,2.073661493424694e-07,0.016436376824462143
19.812330963105378,3.833398943395375e-08,1.0011954684223447e-08,0.008018680213268643,0.0004985249663745215,2.7623005613899163e-08,2.608651003368472e-07,0.01653613680982997
19.92917425349539,3.047234669409362e-08,1.273558106101359e-08,0.008108203969347139,0.0004007103555404392,1.764966500664595e-08,3.28166389690567e-07,0.0166174530739042
20.024133892289306,2.4222991834566884e-08,1.616471613823973e-08,0.008180801694364217,0.0003213835532959979,1.1252562424189682e-08,4.1283091982591967e-07,0.016683422944138167
20.100995674146088,1.9255272306652473e-08,2.0480850883557552e-08,0.008239439332389705,0.00025730446649800784,7.161384465856232e-09,5.193382799652801e-07,0.016736743572620682
20.163015246758686,1.5306346719493432e-08,2.5912382105841584e-08,0.008286647897864543,0.00020570764518712537,4.5511586969031365e-09,6.533237606113067e-07,0.01677971812321227
20.212946621572563,1.2167277936464394e-08,3.274670208936006e-08,0.00832455443598104,0.00016426855101651233,2.8890020835340667e-09,8.218765160308172e-07,0.016814284309328537
20.253090641219835,9.671978238584765e-09,4.13454060437224e-08,0.008354925315702337,0.00013105629399283984,1.8322013277963607e-09,1.0339146504803572e-06,0.016842054148650355
20.285351843725493,7.688421645017518e-09,5.216342201580963e-08,0.008379213704645038,0.00010448175515618684,1.161121461193419e-09,1.3006570739366888e-06,0.016864357573713705
20.31129643392566,6.1116584356814365e-09,6.577307481963206e-08,0.008398606230782967,8.324655967591281e-05,7.35402952557855e-10,1.636217093157139e-06,0.01688228540125533
20.332207165819163,4.858262275280182e-09,8.289435577448598e-08,0.008414066059627781,6.629593103381672e-05,4.6555160766849833e-10,2.0583491448952857e-06,0.01689672918390099
